PUBLICATION_FORMAT,YEAR,MONTH,SALES_RANK,TITLE,ISSUE,PRICE,PUBLISHER,EST_SALESCOMIC,2009,JANUARY,1,Amazing Spider-Man,583,3.99,Marvel,352847
COMIC,2009,JANUARY,73,Punisher War Zone,6,3.99,Marvel,25378
COMIC,2009,JANUARY,74,Marvels Eye Of Camera,3,3.99,Marvel,25080
COMIC,2009,JANUARY,75,Secret Six,5,2.99,DC,24891
COMIC,2009,JANUARY,76,Green Arrow Black Canary,16,2.99,DC,24412
COMIC,2009,JANUARY,77,Brave And The Bold,21,2.99,DC,24368
COMIC,2009,JANUARY,78,Walking Dead,57,2.99,Image,23395
COMIC,2009,JANUARY,79,X-Men Spider-Man,3,3.99,Marvel,23068
COMIC,2009,JANUARY,80,Terror Titans,4,2.99,DC,23061
COMIC,2009,JANUARY,81,Punisher Frank Castle Max,66,3.99,Marvel,22799
COMIC,2009,JANUARY,82,Hellboy Wild Hunt,2,2.99,Dark Horse,22777
COMIC,2009,JANUARY,83,Umbrella Academy Dallas,3,2.99,Dark Horse,22698
COMIC,2009,JANUARY,84,Fables,80,2.99,DC,22610
COMIC,2009,JANUARY,85,Ghost Rider,31,2.99,Marvel,22414
COMIC,2009,JANUARY,86,Legion Of Super Heroes,50,2.99,DC,22320
COMIC,2009,JANUARY,87,X-Men Worlds Apart,4,3.99,Marvel,22146
COMIC,2009,JANUARY,88,Faces Of Evil Kobra,1,2.99,DC,22000
COMIC,2009,JANUARY,89,Moon Knight,26,2.99,Marvel,21790
COMIC,2009,JANUARY,90,Conan The Cimmerian,7,2.99,Dark Horse,21775
COMIC,2009,JANUARY,91,Spawn,188,2.95,Image,21426
COMIC,2009,JANUARY,93,Civil War House Of M,5,2.99,Marvel,21158
COMIC,2009,JANUARY,94,Sandman Dream Hunters,3,2.99,DC,21150
COMIC,2009,JANUARY,95,Wolverine Switchback,,3.99,Marvel,20976
COMIC,2009,JANUARY,96,Birds Of Prey,126,2.99,DC,20766
COMIC,2009,JANUARY,97,Batman Confidential,25,2.99,DC,20511
COMIC,2009,JANUARY,98,Runaways 3,6,2.99,Marvel,20453
COMIC,2009,JANUARY,99,Spider-Man Fear Itself,1,3.99,Marvel,19625
COMIC,2009,JANUARY,100,"Star Wars Knights of the OldRepublic",37,2.99,Dark Horse,18761
COMIC,2009,JANUARY,101,Captain Britain and M.I. 13,9,2.99,Marvel,18478
COMIC,2009,JANUARY,102,New Exiles,17,2.99,Marvel,18376
COMIC,2009,JANUARY,103,She-Hulk 2,37,2.99,Marvel,18238
