PUBLICATION_FORMAT,YEAR,MONTH,SALES_RANK,TITLE,ISSUE,PRICE,PUBLISHER,EST_SALES
COMIC,2004,DECEMBER,1,New Avengers,1,2.25,Marvel,240734
COMIC,2004,DECEMBER,2,Ultimates 2,1,2.99,Marvel,146277
COMIC,2004,DECEMBER,3,Identity Crisis,7,3.95,DC,139578
COMIC,2004,DECEMBER,4,Astonishing X-Men,7,2.99,Marvel,134109
COMIC,2004,DECEMBER,5,Superman Batman,15 (Res),2.95,DC,119932
COMIC,2004,DECEMBER,6,Superman Batman,16,2.95,DC,115662
COMIC,2004,DECEMBER,7,Green Lantern Rebirth,3,2.95,DC,106527
COMIC,2004,DECEMBER,8,Superman,212,2.5,DC,100248
COMIC,2004,DECEMBER,9,Uncanny X-Men,453,2.25,Marvel,89956
COMIC,2004,DECEMBER,10,Ultimate Spider-Man,70,2.25,Marvel,88964
COMIC,2004,DECEMBER,11,X-Men,165,2.25,Marvel,86637
COMIC,2004,DECEMBER,12,Amazing Spider-Man,515,2.25,Marvel,82843
COMIC,2004,DECEMBER,13,Wolverine,23,2.25,Marvel,80681
COMIC,2004,DECEMBER,14,Ultimate Fantastic Four,14,2.25,Marvel,77935
COMIC,2004,DECEMBER,15,Ultimate Nightmare,4,2.25,Marvel,76662
COMIC,2004,DECEMBER,16,X-Men Fantastic Four,1,3.5,Marvel,74518
COMIC,2004,DECEMBER,17,"X-Men The End Book 1 Dreamers& Demons",6,2.99,Marvel,66223
COMIC,2004,DECEMBER,18,JLA Classified,2,2.95,DC,66150
COMIC,2004,DECEMBER,19,Marvel Knights Spider-Man,9,2.99,Marvel,64463
COMIC,2004,DECEMBER,20,JLA,109,2.25,DC,63793
COMIC,2004,DECEMBER,21,Teen Titans,19,2.5,DC,62588
COMIC,2004,DECEMBER,22,Batman,635,2.25,DC,60901
COMIC,2004,DECEMBER,23,Supreme Power,14,2.99,Marvel,57977
COMIC,2004,DECEMBER,24,Iron Man,2,2.99,Marvel,53294
COMIC,2004,DECEMBER,25,Legion Of Super Heroes,1,2.95,DC,50694
COMIC,2004,DECEMBER,26,Daredevil,68,2.99,Marvel,50493
COMIC,2004,DECEMBER,27,Fantastic Four,521,2.99,Marvel,47636
COMIC,2004,DECEMBER,28,Spectacular Spider-Man,22,2.25,Marvel,47515
COMIC,2004,DECEMBER,29,JSA,68,2.5,DC,45200
COMIC,2004,DECEMBER,30,New X-Men,7,2.99,Marvel,43026
COMIC,2004,DECEMBER,31,Detective Comics,801,2.95,DC,42777
COMIC,2004,DECEMBER,32,Excalibur,8,2.99,Marvel,42442
COMIC,2004,DECEMBER,33,Conan,11,2.99,Dark Horse,41151
COMIC,2004,DECEMBER,34,Strange,3,3.5,Marvel,41017
COMIC,2004,DECEMBER,35,Ultimate Elektra,5,2.25,Marvel,40858
COMIC,2004,DECEMBER,36,Outsiders,18,2.5,DC,40602
COMIC,2004,DECEMBER,37,The Punisher,15,2.99,Marvel,40359
COMIC,2004,DECEMBER,38,Nightwing,100,2.95,DC,40024
COMIC,2004,DECEMBER,39,Action Comics,822,2.5,DC,38112
COMIC,2004,DECEMBER,40,New Avengers,1 Dirtrs Cut,3.99,Marvel,38075
COMIC,2004,DECEMBER,41,X-Force,5,2.99,Marvel,38008
COMIC,2004,DECEMBER,43,Avengers Earths Mightiest Heroes,3,3.5,Marvel,36668
