PUBLICATION_FORMAT,YEAR,MONTH,SALES_RANK,TITLE,ISSUE,PRICE,PUBLISHER,EST_SALES
COMIC,2010,MARCH,85,Wonder Woman,42,2.99,DC,25239
COMIC,2010,MARCH,86,Hulk Let Battle Begin,1,3.99,Marvel,25239
COMIC,2010,MARCH,87,Image Firsts Walking Dead,1,1.0,Image,24334
COMIC,2010,MARCH,88,Titans,23,2.99,DC,24261
COMIC,2010,MARCH,89,Secret Six,19,2.99,DC,23179
COMIC,2010,MARCH,90,Hercules Fall of an Avenger,1,3.99,Marvel,23038
COMIC,2010,MARCH,91,Punishermax,5,3.99,Marvel,22432
COMIC,2010,MARCH,92,Stand Soul Survivors,5,3.99,Marvel,22292
COMIC,2010,MARCH,93,Punisher,15,2.99,Marvel,22286
COMIC,2010,MARCH,94,Boys,40,2.99,Dynamic,22023
COMIC,2010,MARCH,95,Deadpool Corps Rank And Foul,1,3.99,Marvel,21900
COMIC,2010,MARCH,96,Guardians of Galaxy,24,2.99,Marvel,21643
COMIC,2010,MARCH,97,Web of Spider-Man,6,3.99,Marvel,21576
COMIC,2010,MARCH,98,Nova,35,2.99,Marvel,21405
COMIC,2010,MARCH,99,Green Hornet Year One,1,3.99,Dynamic,21332
COMIC,2010,MARCH,100,Stephen King's N,1,3.99,Marvel,21093
COMIC,2010,MARCH,101,Power Girl,10,2.99,DC,20799
COMIC,2010,MARCH,102,Haunt,6,2.99,Image,20488
COMIC,2010,MARCH,103,Brave and The Bold,32,2.99,DC,20463
COMIC,2010,MARCH,104,Booster Gold,30,2.99,DC,20188
COMIC,2010,MARCH,105,Fables,93,2.99,DC,20004
COMIC,2010,MARCH,106,X-Men Origins Nightcrawler,1,3.99,Marvel,19821
COMIC,2010,MARCH,107,Star Wars Legacy,46,2.99,Dark Horse,19790
COMIC,2010,MARCH,108,Outsiders,28,2.99,DC,19631
COMIC,2010,MARCH,109,Superman 80 Page Giant,1,5.99,DC,19393
COMIC,2010,MARCH,110,Vengeance of Moon Knight,6,2.99,Marvel,19093
COMIC,2010,MARCH,111,Cloak and Dagger,1,3.99,Marvel,18995
COMIC,2010,MARCH,112,Peter Parker,1,3.99,Marvel,18965
COMIC,2010,MARCH,113,Spawn,196,2.99,Image,18891
COMIC,2010,MARCH,114,X-Factor Forever,1,3.99,Marvel,18549
COMIC,2010,MARCH,115,Angel,31,3.99,IDW,18537
COMIC,2010,MARCH,116,Realm of Kings Inhumans,5,3.99,Marvel,18188
COMIC,2010,MARCH,117,Conan The Cimmerian,19 Linsner Cvr,2.99,Dark Horse,18133
COMIC,2010,MARCH,118,Wolverine Mr. X,1,3.99,Marvel,17950
COMIC,2010,MARCH,119,Joe The Barbarian,3,2.99,DC,17674
COMIC,2010,MARCH,120,Realm of Kings Imperial Guard,5,3.99,Marvel,17265
COMIC,2010,MARCH,121,Realm of Kings Son of Hulk,2,3.99,Marvel,17197
COMIC,2010,MARCH,122,Powers,3,3.95,Marvel,16769
COMIC,2010,MARCH,123,Batman Confidential,42,2.99,DC,16653
COMIC,2010,MARCH,124,Avengers vs. Atlas,3,3.99,Marvel,16482
COMIC,2010,MARCH,125,X-Men Forever,19,3.99,Marvel,16182
COMIC,2010,MARCH,126,Punisher Max Butterfly,1,4.99,Marvel,16164
COMIC,2010,MARCH,127,X-Men Forever,20,3.99,Marvel,15993
COMIC,2010,MARCH,128,She-Hulk Sensational,1,4.99,Marvel,15583
COMIC,2010,MARCH,129,Guild,1,3.5,Dark Horse,15289
COMIC,2010,MARCH,130,Cinderella From Fabletown with Love,5,2.99,DC,15283
COMIC,2010,MARCH,131,Captain America MGC,1,1.0,Marvel,15142
COMIC,2010,MARCH,132,Thor MGC,1,1.0,Marvel,14555
COMIC,2010,MARCH,133,Criminal Sinners,5,3.5,Marvel,14292
COMIC,2010,MARCH,134,Doom Patrol,8,2.99,DC,14195
COMIC,2010,MARCH,135,Unwritten,11,2.99,DC,13632
COMIC,2010,MARCH,136,G.I. Joe,15,3.99,IDW,13607
COMIC,2010,MARCH,137,Twelve Spearhead,1,3.99,Marvel,13540
COMIC,2010,MARCH,138,Girl,1,4.99,Marvel,13491
COMIC,2010,MARCH,139,G.I. Joe,16,3.99,IDW,13289
COMIC,2010,MARCH,140,Astro City The Dark Age Book Four,2,3.99,DC,13118
COMIC,2010,MARCH,141,Irredeemable,12,3.99,Boom,13057
COMIC,2010,MARCH,142,Bprd King of Fear,3,2.99,Dark Horse,12874
COMIC,2010,MARCH,143,Chew,9,2.99,Image,12867
COMIC,2010,MARCH,144,Spider-Man and Secret Wars,4,2.99,Marvel,12635
COMIC,2010,MARCH,145,Astro City The Dark Age Book Four,3,3.99,DC,12629
COMIC,2010,MARCH,146,Siege,1 Dir's Cut,4.99,Marvel,12403
COMIC,2010,MARCH,147,Crossed,9,4.99,Avatar,12372
COMIC,2010,MARCH,148,Ex Machina,48,2.99,DC,12091
COMIC,2010,MARCH,149,Wonderful Wizard of Oz MGC,1,1.0,Marvel,12030
COMIC,2010,MARCH,150,Transformers Ongoing,5,3.99,IDW,11993
COMIC,2010,MARCH,151,Witchblade,135,2.99,Image,11938
COMIC,2010,MARCH,152,Torch,6,3.99,Marvel,11895
COMIC,2010,MARCH,153,Jack of Fables,43,2.99,DC,11877
COMIC,2010,MARCH,154,X-Men Pixie Strikes Back,2,3.99,Marvel,11840
COMIC,2010,MARCH,155,Azrael,6,2.99,DC,11828
