PUBLICATION_FORMAT,YEAR,MONTH,SALES_RANK,TITLE,ISSUE,PRICE,PUBLISHER,EST_SALES
COMIC,2007,MAY,2,Dark Tower Gunslinger Born,4,3.99,Marvel,131710
COMIC,2007,MAY,3,Justice League of America,9,2.99,DC,129243
COMIC,2007,MAY,4,Captain America,26,2.99,Marvel,126408
COMIC,2007,MAY,5,New Avengers,30,2.99,Marvel,126384
COMIC,2007,MAY,6,Astonishing X-Men,21,2.99,Marvel,120457
COMIC,2007,MAY,7,Amazing Spider-Man,540,2.99,Marvel,119624
COMIC,2007,MAY,8,Mighty Avengers,3,2.99,Marvel,115403
COMIC,2007,MAY,9,All Star Batman & Robin,5,2.99,DC,114265
COMIC,2007,MAY,10,"World War Hulk Prologue WorldBreaker",,3.99,Marvel,111118
COMIC,2007,MAY,11,Incredible Hulk,106,2.99,Marvel,110157
COMIC,2007,MAY,12,Buffy The Vampire Slayer,3,2.99,Dark Horse,106600
COMIC,2007,MAY,13,Ultimates 2,13,3.99,Marvel,105711
COMIC,2007,MAY,14,Avengers Initiative,2,2.99,Marvel,103156
COMIC,2007,MAY,15,52,52,2.5,DC,102043
COMIC,2007,MAY,16,Justice Society of America,6,2.99,DC,96869
COMIC,2007,MAY,17,Wolverine,54,2.99,Marvel,96052
COMIC,2007,MAY,18,New Avengers Illuminati,3,2.99,Marvel,92792
COMIC,2007,MAY,19,Countdown,51,2.99,DC,91054
COMIC,2007,MAY,20,Countdown,50,2.99,DC,83725
COMIC,2007,MAY,21,Uncanny X-Men,486,2.99,Marvel,81939
COMIC,2007,MAY,22,Countdown,49,2.99,DC,81458
COMIC,2007,MAY,23,Marvel Zombies Dead Days,,3.99,Marvel,81298
COMIC,2007,MAY,24,Batman,665,2.99,DC,80096
COMIC,2007,MAY,25,Countdown,48,2.99,DC,79784
COMIC,2007,MAY,26,X-Men,199,2.99,Marvel,75971
COMIC,2007,MAY,27,Punisher War Journal,7,2.99,Marvel,72848
COMIC,2007,MAY,28,Ultimate Spider-Man,109,2.99,Marvel,72455
COMIC,2007,MAY,29,Fantastic Four,546,2.99,Marvel,72159
COMIC,2007,MAY,30,Wolverine Origins,14,2.99,Marvel,68931
COMIC,2007,MAY,31,Superman Batman,35,2.99,DC,68138
COMIC,2007,MAY,32,Marvel Zombies Army of Darkness,3,2.99,Marvel,67041
COMIC,2007,MAY,33,Thunderbolts,114,2.99,Marvel,66288
COMIC,2007,MAY,34,Teen Titans,47,2.99,DC,63653
COMIC,2007,MAY,35,Iron Man,17,2.99,Marvel,63308
COMIC,2007,MAY,36,Ultimate Power,5,2.99,Marvel,62764
COMIC,2007,MAY,37,Green Lantern,19,2.99,DC,62419
COMIC,2007,MAY,38,Ultimate X-Men,82,2.99,Marvel,62043
COMIC,2007,MAY,39,Teen Titans,46,2.99,DC,61458
COMIC,2007,MAY,40,Green Lantern,20,2.99,DC,60537
COMIC,2007,MAY,41,Wonder Woman,9,2.99,DC,58542
COMIC,2007,MAY,42,Omega Flight,2,2.99,Marvel,57221
COMIC,2007,MAY,43,Moon Knight,10,2.99,Marvel,56716
COMIC,2007,MAY,44,Action Comics,850,3.99,DC,56148
COMIC,2007,MAY,45,Superman,662,2.99,DC,55218
COMIC,2007,MAY,46,Action Comics,849,2.99,DC,53592
COMIC,2007,MAY,47,Silver Surfer Requiem,1,3.99,Marvel,52992
COMIC,2007,MAY,48,Ultimate Fantastic Four,42,2.99,Marvel,52824
COMIC,2007,MAY,49,Black Panther,27,2.99,Marvel,52535
COMIC,2007,MAY,50,Detective Comics,832,2.99,DC,51710
COMIC,2007,MAY,51,Supergirl,17,2.99,DC,50413
COMIC,2007,MAY,52,Ultimate Fantastic Four,41,2.99,Marvel,49900
COMIC,2007,MAY,53,Friendly Neighborhood Spider-Man,20,2.99,Marvel,49892
COMIC,2007,MAY,54,Sensational Spider-Man Annual,1,3.99,Marvel,48458
COMIC,2007,MAY,55,Flash Fastest Man Alive,12,2.99,DC,47794
COMIC,2007,MAY,56,Amazons Attack,2,2.99,DC,47537
COMIC,2007,MAY,57,Daredevil,97,2.99,Marvel,47185
COMIC,2007,MAY,58,Runaways,26,2.99,Marvel,46119
COMIC,2007,MAY,59,Nova,2,2.99,Marvel,44518
COMIC,2007,MAY,60,Ghost Rider,11,2.99,Marvel,43612
COMIC,2007,MAY,61,Ms Marvel,15,2.99,Marvel,42836
COMIC,2007,MAY,62,"Friendly Neighborhood Spider-ManAnnual",1,3.99,Marvel,41930
COMIC,2007,MAY,63,She-Hulk 2,18,2.99,Marvel,41786
COMIC,2007,MAY,64,X-23 Target X,6,2.99,Marvel,41546
COMIC,2007,MAY,65,New X-Men,38,2.99,Marvel,38903
COMIC,2007,MAY,66,X-Factor,19,2.99,Marvel,37886
COMIC,2007,MAY,67,Immortal Iron Fist,5,2.99,Marvel,36844
COMIC,2007,MAY,68,Silent War,5,2.99,Marvel,35891
COMIC,2007,MAY,69,Ghost Rider Trail of Tears,4,2.99,Marvel,35403
COMIC,2007,MAY,70,Punisher,47,2.99,Marvel,33881
COMIC,2007,MAY,71,Outsiders,47,2.99,DC,33256
COMIC,2007,MAY,72,Green Lantern Corps,12,2.99,DC,33256
COMIC,2007,MAY,73,Star Wars Legacy,11,2.99,Dark Horse,33128
COMIC,2007,MAY,74,Hellboy Darkness Calls,1,2.99,Dark Horse,32311
COMIC,2007,MAY,75,Star Wars Legacy,12,2.99,Dark Horse,32151
COMIC,2007,MAY,76,Newuniversal,6,2.99,Marvel,31934
COMIC,2007,MAY,77,Boys,7 (Res),2.99,Dynamic,31606
COMIC,2007,MAY,78,Nightwing,132,2.99,DC,30797
COMIC,2007,MAY,79,"Supergirl & Legion of SuperHeroes",30,2.99,DC,30757
COMIC,2007,MAY,80,Green Arrow,74,2.99,DC,30741
COMIC,2007,MAY,81,Exiles,94,2.99,Marvel,30725
COMIC,2007,MAY,82,Shazam Monster Society of Evil,3,5.99,DC,30661
COMIC,2007,MAY,83,Star Wars Dark Times,3,2.99,Dark Horse,29491
COMIC,2007,MAY,84,New Excalibur,20,2.99,Marvel,28787
COMIC,2007,MAY,85,Birds of Prey,106,2.99,DC,28354
COMIC,2007,MAY,86,Spider-Man Fantastic Four,2,2.99,Marvel,27017
COMIC,2007,MAY,87,Robin,162,2.99,DC,26792
COMIC,2007,MAY,88,Cable Deadpool,40,2.99,Marvel,26111
COMIC,2007,MAY,89,Fables,61,2.99,DC,26047
COMIC,2007,MAY,90,Hellboy Darkness Calls,2,2.99,Dark Horse,25999
COMIC,2007,MAY,91,Frank Frazettas Death Dealer,2,3.99,Image,25831
COMIC,2007,MAY,92,Y The Last Man,56 (Res),2.99,DC,25751
COMIC,2007,MAY,93,Conan,40,2.99,Dark Horse,24974
COMIC,2007,MAY,94,Spawn,167,2.95,Image,24269
COMIC,2007,MAY,95,Spirit,6,2.99,DC,23701
COMIC,2007,MAY,96,Star Wars Knights of Old Republic,16,2.99,Dark Horse,23564
COMIC,2007,MAY,97,X-Men First Class Special,,3.99,Marvel,23548
COMIC,2007,MAY,98,Star Wars Knights of Old Republic,17,2.99,Dark Horse,22900
COMIC,2007,MAY,99,Checkmate,13,2.99,DC,22547
COMIC,2007,MAY,100,Annihilation Saga,,1.99,Marvel,22147
COMIC,2007,MAY,101,Checkmate,14,2.99,DC,22067
COMIC,2007,MAY,102,Star Wars Rebellion,6,2.99,Dark Horse,21994
COMIC,2007,MAY,103,JLA Classified,38,2.99,DC,21954
COMIC,2007,MAY,104,JSA Classified,26,2.99,DC,21562
COMIC,2007,MAY,105,Spawn Godslayer,1,2.99,Image,21226
COMIC,2007,MAY,106,Supernatural Origins,1,2.99,DC,21121
COMIC,2007,MAY,108,Red Sonja,22,2.99,Dynamic,20721
COMIC,2007,MAY,109,Heroes For Hire,10,2.99,Marvel,20497
COMIC,2007,MAY,110,Shadowpact,13,2.99,DC,20328
COMIC,2007,MAY,111,Buffy The Vampire Slayer,2,2.99,Dark Horse,20200
COMIC,2007,MAY,112,Jack of Fables,10,2.99,DC,19976
COMIC,2007,MAY,113,Catwoman,67,2.99,DC,19920
COMIC,2007,MAY,114,Midnighter,7,2.99,DC,19904
COMIC,2007,MAY,115,Gen 13,8,2.99,DC,19632
COMIC,2007,MAY,116,Amazing Spider-Girl,8,2.99,Marvel,19568
COMIC,2007,MAY,117,Mystery in Space,8,3.99,DC,19423
COMIC,2007,MAY,118,Punisher Presents Barracuda Max,4,3.99,Marvel,19415
COMIC,2007,MAY,119,Loners,2,2.99,Marvel,18895
COMIC,2007,MAY,120,Dark Tower Gunslinger Born,2,3.99,Marvel,18566
COMIC,2007,MAY,121,Iron Man Hypervelocity,5,2.99,Marvel,18414
COMIC,2007,MAY,122,Ex Machina,28,2.99,DC,18158
COMIC,2007,MAY,123,Marvel Zombies Army of Darkness,1,2.99,Marvel,18014
COMIC,2007,MAY,124,Kiss 4k,1,3.99,Image,17717
COMIC,2007,MAY,125,"Thunderbolts Presents Zemo BornBetter",4,2.99,Marvel,17397
COMIC,2007,MAY,126,Spider-Man Fairy Tales,1,2.99,Marvel,17357
COMIC,2007,MAY,127,"Transformers Prime Directive MoviePrequel",4,3.99,IDW,17301
COMIC,2007,MAY,128,Tales of Unexpected,8,3.99,DC,17101
COMIC,2007,MAY,129,Battlestar Galactica,9,2.99,Dynamic,16996
COMIC,2007,MAY,130,Blade,9,2.99,Marvel,16940
COMIC,2007,MAY,131,Blue Beetle,15,2.99,DC,16900
COMIC,2007,MAY,132,Aquaman Sword of Atlantis,52,2.99,DC,16772
COMIC,2007,MAY,133,"All New Official Handbook to theMarvel Universe A To Z Update",2,3.99,Marvel,16628
COMIC,2007,MAY,134,Hawkgirl,63,2.99,DC,16492
COMIC,2007,MAY,135,Jonah Hex,19,2.99,DC,16468
COMIC,2007,MAY,136,All New Atom,11,2.99,DC,16187
COMIC,2007,MAY,137,Witchblade,105,2.99,Image,16091
COMIC,2007,MAY,138,Red Sonja Vacant Shell One Shot,,4.99,Dynamic,15971
COMIC,2007,MAY,139,BPRD Garden of Souls,3,2.99,Dark Horse,15963
COMIC,2007,MAY,140,Hawkgirl,64,2.99,DC,15811
COMIC,2007,MAY,141,Criminal,6,2.99,Marvel,15715
COMIC,2007,MAY,142,Irredeemable Ant-Man,8,2.99,Marvel,15587
COMIC,2007,MAY,143,Satans #### Baby,,3.5,Dark Horse,15515
COMIC,2007,MAY,144,Buffy The Vampire Slayer,1,2.99,Dark Horse,15234
COMIC,2007,MAY,145,G.I. Joe Americas Elite,23,3.5,Devil's Due,15034
COMIC,2007,MAY,146,Grifter Midnighter,3,2.99,DC,14842
COMIC,2007,MAY,147,Witchblade,106,2.99,Image,14770
COMIC,2007,MAY,148,Transformers Escalation,6,3.99,IDW,14441
COMIC,2007,MAY,149,Danger Girl Body Shots,2,2.99,DC,14353
COMIC,2007,MAY,150,Giant Sized Red Sonja,1,4.99,Dynamic,14217
COMIC,2007,MAY,151,Painkiller Jane,1,3.5,Dynamic,14025
COMIC,2007,MAY,152,G.I. Joe Storm Shadow,1,3.5,Devil's Due,13432
COMIC,2007,MAY,153,Invincible,41,2.99,Image,13424
COMIC,2007,MAY,154,Wetworks,9,2.99,DC,13336
COMIC,2007,MAY,155,Hellblazer,232,2.99,DC,13160
COMIC,2007,MAY,156,DMZ,19,2.99,DC,13112
COMIC,2007,MAY,157,Omega Flight,1,2.99,Marvel,13048
COMIC,2007,MAY,158,Stormwatch Phd,7,2.99,DC,12807
COMIC,2007,MAY,159,Deathblow,5,2.99,DC,12543
COMIC,2007,MAY,160,100 Bullets,83,2.99,DC,12471
COMIC,2007,MAY,161,Shaolin Cowboy,7,3.5,Burlyman,11942
COMIC,2007,MAY,162,Marvel Adventures Iron Man,1,2.99,Marvel,11918
COMIC,2007,MAY,163,"Battlestar Galactica CylonApocalypse",3,3.5,Dynamic,11734
COMIC,2007,MAY,164,Marvel Illustrated Last of Mohicans,1,2.99,Marvel,11494
COMIC,2007,MAY,165,Dark Xena,1,3.5,Dynamic,11205
COMIC,2007,MAY,166,Madman Atomic Comics,2,2.99,Image,11197
COMIC,2007,MAY,167,"Legion of Super Heroes in the 31stCentury",2,2.25,DC,11117
COMIC,2007,MAY,168,Darkness Level 3,,2.99,Image,11069
COMIC,2007,MAY,169,Transformers Spotlight Target 2006,2,3.99,IDW,10789
COMIC,2007,MAY,170,Star Trek Klingons Blood Will Tell,2,3.99,IDW,10413
COMIC,2007,MAY,171,Army @ Love,3,2.99,DC,10308
COMIC,2007,MAY,172,Welcome To Tranquility,6,2.99,DC,10276
COMIC,2007,MAY,173,Wonder Man,5,2.99,Marvel,10276
COMIC,2007,MAY,174,Highlander,7,2.99,Dynamic,10252
COMIC,2007,MAY,175,Wisdom,6,3.99,Marvel,10092
COMIC,2007,MAY,176,G.I. Joe Special Missions Brazil,,5.5,Devil's Due,10084
COMIC,2007,MAY,177,Simpsons Comics,130,2.99,Bongo,9475
COMIC,2007,MAY,178,Tarot Witch of Black Rose,44,2.95,Broadsword,9395
COMIC,2007,MAY,179,Dark Xena,2,3.5,Dynamic,9291
COMIC,2007,MAY,180,"Star Trek Next Generation SpaceBetween",5,3.99,IDW,9259
COMIC,2007,MAY,181,Justice League Unltd,33,2.25,DC,9227
COMIC,2007,MAY,182,G.I. Joe Dreadnoks Declassified,3,5.5,Devil's Due,9211
COMIC,2007,MAY,183,Strangers in Paradise,89,2.99,Abstract,9075
COMIC,2007,MAY,184,Scalped,5,2.99,DC,9019
COMIC,2007,MAY,185,Fantastic Four,544,2.99,Marvel,8963
COMIC,2007,MAY,186,Teen Titans Go,43,2.25,DC,8915
COMIC,2007,MAY,187,Chucky,1,3.5,Devil's Due,8859
COMIC,2007,MAY,188,Exterminators,17,2.99,DC,8811
