PUBLICATION_FORMAT,YEAR,MONTH,SALES_RANK,TITLE,ISSUE,PRICE,PUBLISHER,EST_SALES
COMIC,2008,OCTOBER,1,Secret Invasion,7,3.99,Marvel,154656
COMIC,2008,OCTOBER,2,Final Crisis,4,3.99,DC,115651
COMIC,2008,OCTOBER,3,Hulk,7,2.99,Marvel,110247
COMIC,2008,OCTOBER,4,Batman,680,2.99,DC,103928
COMIC,2008,OCTOBER,5,New Avengers,46,2.99,Marvel,99501
COMIC,2008,OCTOBER,6,Mighty Avengers,19,2.99,Marvel,87248
COMIC,2008,OCTOBER,7,Astonishing X-Men,27,2.99,Marvel,86759
COMIC,2008,OCTOBER,8,Amazing Spider-Man,573,3.99,Marvel,82540
COMIC,2008,OCTOBER,9,Uncanny X-Men,503,2.99,Marvel,81064
COMIC,2008,OCTOBER,10,Justice League of America,25,3.99,DC,80721
COMIC,2008,OCTOBER,11,Thor,11,2.99,Marvel,78663
COMIC,2008,OCTOBER,12,Justice League of America,26,2.99,DC,77343
COMIC,2008,OCTOBER,13,Final Crisis Rage of Red Lanterns,1,3.99,DC,76398
COMIC,2008,OCTOBER,14,Captain America,43,2.99,Marvel,72396
COMIC,2008,OCTOBER,15,Justice Society of America,19,2.99,DC,72064
COMIC,2008,OCTOBER,16,Astonishing X-Men Ghost Boxes,1,3.99,Marvel,69601
COMIC,2008,OCTOBER,17,Amazing Spider-Man,574,2.99,Marvel,69060
COMIC,2008,OCTOBER,18,Amazing Spider-Man,575,2.99,Marvel,68904
COMIC,2008,OCTOBER,19,X-Men Legacy,217,2.99,Marvel,65880
COMIC,2008,OCTOBER,20,Detective Comics,849,2.99,DC,65870
COMIC,2008,OCTOBER,21,Dark Tower Treachery,2,3.99,Marvel,65724
COMIC,2008,OCTOBER,22,The Stand: Captain Trips,2,3.99,Marvel,64436
COMIC,2008,OCTOBER,23,Final Crisis Legion of Three Worlds,2,3.99,DC,64404
COMIC,2008,OCTOBER,24,Marvel Zombies 3,1,3.99,Marvel,64186
COMIC,2008,OCTOBER,25,Avengers Invaders,5,2.99,Marvel,63750
COMIC,2008,OCTOBER,26,Green Lantern,35,2.99,DC,63375
COMIC,2008,OCTOBER,27,Avengers Initiative,18,2.99,Marvel,61151
COMIC,2008,OCTOBER,28,Ultimate Origins,5,2.99,Marvel,61037
COMIC,2008,OCTOBER,29,X-Force,8,2.99,Marvel,59738
COMIC,2008,OCTOBER,30,Wolverine Origins,29,2.99,Marvel,58834
COMIC,2008,OCTOBER,31,Deadpool,3,2.99,Marvel,58553
COMIC,2008,OCTOBER,32,Final Crisis Submit,1,3.99,DC,57483
COMIC,2008,OCTOBER,33,Amazing Spider-Man Annual,1,3.99,Marvel,57472
COMIC,2008,OCTOBER,34,Action Comics,870,2.99,DC,57400
COMIC,2008,OCTOBER,35,Final Crisis Rogues Revenge,3,3.99,DC,55051
COMIC,2008,OCTOBER,36,X-Men Original Sin,1,3.99,Marvel,54885
COMIC,2008,OCTOBER,37,Superman,681,2.99,DC,54604
COMIC,2008,OCTOBER,38,Secret Invasion Thor,3,2.99,Marvel,53731
COMIC,2008,OCTOBER,39,Superman New Krypton Special,1,3.99,DC,53575
COMIC,2008,OCTOBER,40,Invincible Iron Man,6,2.99,Marvel,53326
COMIC,2008,OCTOBER,41,Final Crisis Revelations,3,3.99,DC,52858
COMIC,2008,OCTOBER,42,Ultimate Spider-Man,127,2.99,Marvel,52577
COMIC,2008,OCTOBER,43,Secret Invasion X-Men,3,2.99,Marvel,51559
COMIC,2008,OCTOBER,44,Nightwing,149,2.99,DC,50582
COMIC,2008,OCTOBER,45,Ultimate Captain America Annual,1,3.99,Marvel,50052
COMIC,2008,OCTOBER,46,Trinity,18,2.99,DC,49168
COMIC,2008,OCTOBER,47,Trinity,19,2.99,DC,48545
COMIC,2008,OCTOBER,48,Superman Batman,53,2.99,DC,48181
COMIC,2008,OCTOBER,49,Trinity,20,2.99,DC,47921
COMIC,2008,OCTOBER,50,Ultimate Spider-Man Annual,3,3.99,Marvel,47765
COMIC,2008,OCTOBER,51,Trinity,21,2.99,DC,47246
COMIC,2008,OCTOBER,52,Batman & Outsiders,12,2.99,DC,46643
COMIC,2008,OCTOBER,53,Trinity,22,2.99,DC,46633
COMIC,2008,OCTOBER,54,Green Lantern Corps,29,2.99,DC,46310
COMIC,2008,OCTOBER,55,Daredevil,112,2.99,Marvel,46196
COMIC,2008,OCTOBER,56,Titans,6 (Res),2.99,DC,45448
COMIC,2008,OCTOBER,57,Secret Invasion Inhumans,3,2.99,Marvel,44315
COMIC,2008,OCTOBER,58,Skaar Son Of Hulk,4,2.99,Marvel,44305
COMIC,2008,OCTOBER,59,Cable,7,2.99,Marvel,43452
COMIC,2008,OCTOBER,60,Incredible Hercules,122,2.99,Marvel,42870
COMIC,2008,OCTOBER,61,Secret Invasion Amazing Spider-Man,3,2.99,Marvel,42247
COMIC,2008,OCTOBER,62,Thor Truth of History,1,3.99,Marvel,42133
COMIC,2008,OCTOBER,63,Iron Man Director Of Shield,34,2.99,Marvel,42018
COMIC,2008,OCTOBER,64,Thunderbolts,125,2.99,Marvel,41353
COMIC,2008,OCTOBER,65,G.I. Joe A New Beginning,0,1.0,IDW,40927
COMIC,2008,OCTOBER,66,Angel After The Fall,13,3.99,IDW,40833
COMIC,2008,OCTOBER,67,Wolverine Manifest Destiny,1,2.99,Marvel,40137
COMIC,2008,OCTOBER,68,Teen Titans,64,2.99,DC,39690
COMIC,2008,OCTOBER,69,X-Men Manifest Destiny,2,3.99,Marvel,39628
COMIC,2008,OCTOBER,70,X-Factor,36,2.99,Marvel,38547
COMIC,2008,OCTOBER,71,Nova,18,2.99,Marvel,38412
COMIC,2008,OCTOBER,72,Guardians Of Galaxy,6,2.99,Marvel,36541
