ID, TITLE, ISSUENUMBER, EST_SALES, MONTH_RANK, DESCR, CHARACTERS, CREATORS, REL_EVENTS, DATE_INFO, PRICE_INFO
49010,100th Anniversary Special (2014) #1,1,46386,50,"CELEBRATE 100 YEARS OF EARTH&#39;S MIGHTIEST HEROES &ndash; THE AVENGERS! Following the failed Badoon invasion of Earth and America&#39;s disappearance into the Negative Zone, how will the Avengers of 2061 cope?!",,,, | onsaleDate:2014-07-23T00:00:00-0400 | focDate:2014-07-09T00:00:00-0400 | unlimitedDate:2015-01-19T00:00:00-0500 | digitalPurchaseDate:2014-07-23T00:00:00-0400, | printPrice:3.99 | digitalPurchasePrice:3.99
49009,100th Anniversary Special (2014) #1,1,46386,50,"- Have the X-Men of 2061 achieved Xavier's dream of mutants and humans living in harmony? Or will there always be a need for the X-Men?
",, | penciller (cover):In-Hyuk Lee | writer:Jennifer Van Meter,, | onsaleDate:2014-07-16T00:00:00-0400 | focDate:2014-07-02T00:00:00-0400 | unlimitedDate:2015-01-12T00:00:00-0500 | digitalPurchaseDate:2014-07-16T00:00:00-0400, | printPrice:3.99 | digitalPurchasePrice:3.99
49008,100th Anniversary Special (2014) #1,1,46386,50,"It&#39;s 100 years after the wall-crawler&#39;s creation, but when the Kingpin has taken Spider-Man&#39;s ultra-powerful techno-symbiote suit, Spider-Man will need to prove once again why he is the world&#39;s greatest super hero.",, | penciller (cover):In-Hyuk Lee | writer:Sean Ryan,, | onsaleDate:2014-07-09T00:00:00-0400 | focDate:2014-06-25T00:00:00-0400 | unlimitedDate:2015-01-05T00:00:00-0500 | digitalPurchaseDate:2014-07-09T00:00:00-0400, | printPrice:3.99 | digitalPurchasePrice:3.99
49007,100th Anniversary Special (2014) #1,1,46386,50,"A REMARKABLE ARTIFACT FROM THE FUTURE OF MARVEL COMICS! It&#39;s 2061 and the world of the Fantastic Four has turned upside-down, complete with the granddaughter of Doom...and the Richards-Banner twins",,,, | onsaleDate:2014-07-02T00:00:00-0400 | focDate:2014-06-18T00:00:00-0400 | unlimitedDate:2015-11-10T00:00:00-0500, | printPrice:3.99 | digitalPurchasePrice:3.99
49011,100th Anniversary Special (2014) #1,1,40584,62,"Just in time for the release of their SEVENTH epic motion picture, the Guardians of the Galaxy are celebrating their 100th Anniversary...by taking on the THE SILVER GALACTUS!",, | writer:Andy Lanning | penciller (cover):David Lopez,, | onsaleDate:2014-07-30T00:00:00-0400 | focDate:2014-07-16T00:00:00-0400 | unlimitedDate:2015-01-26T00:00:00-0500 | digitalPurchaseDate:2014-07-30T00:00:00-0400, | printPrice:3.99 | digitalPurchasePrice:3.99
49010,100th Anniversary Special (2014) #1,1,40584,62,"CELEBRATE 100 YEARS OF EARTH&#39;S MIGHTIEST HEROES &ndash; THE AVENGERS! Following the failed Badoon invasion of Earth and America&#39;s disappearance into the Negative Zone, how will the Avengers of 2061 cope?!",,,, | onsaleDate:2014-07-23T00:00:00-0400 | focDate:2014-07-09T00:00:00-0400 | unlimitedDate:2015-01-19T00:00:00-0500 | digitalPurchaseDate:2014-07-23T00:00:00-0400, | printPrice:3.99 | digitalPurchasePrice:3.99
49009,100th Anniversary Special (2014) #1,1,40584,62,"- Have the X-Men of 2061 achieved Xavier's dream of mutants and humans living in harmony? Or will there always be a need for the X-Men?
",, | penciller (cover):In-Hyuk Lee | writer:Jennifer Van Meter,, | onsaleDate:2014-07-16T00:00:00-0400 | focDate:2014-07-02T00:00:00-0400 | unlimitedDate:2015-01-12T00:00:00-0500 | digitalPurchaseDate:2014-07-16T00:00:00-0400, | printPrice:3.99 | digitalPurchasePrice:3.99
49008,100th Anniversary Special (2014) #1,1,40584,62,"It&#39;s 100 years after the wall-crawler&#39;s creation, but when the Kingpin has taken Spider-Man&#39;s ultra-powerful techno-symbiote suit, Spider-Man will need to prove once again why he is the world&#39;s greatest super hero.",, | penciller (cover):In-Hyuk Lee | writer:Sean Ryan,, | onsaleDate:2014-07-09T00:00:00-0400 | focDate:2014-06-25T00:00:00-0400 | unlimitedDate:2015-01-05T00:00:00-0500 | digitalPurchaseDate:2014-07-09T00:00:00-0400, | printPrice:3.99 | digitalPurchasePrice:3.99
49007,100th Anniversary Special (2014) #1,1,40584,62,"A REMARKABLE ARTIFACT FROM THE FUTURE OF MARVEL COMICS! It&#39;s 2061 and the world of the Fantastic Four has turned upside-down, complete with the granddaughter of Doom...and the Richards-Banner twins",,,, | onsaleDate:2014-07-02T00:00:00-0400 | focDate:2014-06-18T00:00:00-0400 | unlimitedDate:2015-11-10T00:00:00-0500, | printPrice:3.99 | digitalPurchasePrice:3.99
51198,1602 Witch Hunter Angela (2015) #1,1,"37,996",67,"In the altered realms of BATTLEWORLD, Angela and Sera are WITCH HUNTERS, the scourges of King James' England, 1602. In a land beset by magic and monstrosity, they seek a new and seductive evil-not witchbreed, but deal-making FAUSTIANS, who bargain with ancient creatures for unnatural power! Moral ambiguity? Fancy allusions? Marguerite making the most of that English degree? tl;dr �"" try 1602 WITCH HUNTER ANGELA #1! ",, | writer:Marguerite Bennett | penciller (cover):Stephanie Hans,, | onsaleDate:2015-06-10T00:00:00-0400 | focDate:2015-05-27T00:00:00-0400 | unlimitedDate:2015-12-14T00:00:00-0500 | digitalPurchaseDate:2015-06-10T00:00:00-0400, | printPrice:3.99 | digitalPurchasePrice:3.99 
51199,1602 Witch Hunter Angela (2015) #2,2,26481,93,"""IN WHICH WICKED SOMETHINGS THIS WAY COME"" The hunt is on! The Faustians have made their deal with the Devil -- er, Enchantress -- but Angela isn't going to take that lying down, is she? No, not by her psychic ribbons and very, very pointy weapons, no, she is not. Out into the wilds of the countryside, Angela and Sera collide with a wandering caravan of ne'er-do-well performers. (Hint: their name starts with a ""G"" and ends with an ""Y"" and has an ""Uardians of the Galax"" in the middle.) Pagan rites, dubious ethics, a deadly curse, and Kieron and Irene Koh being up to no good �"" who can resist the lure of the Faustians?",, | writer:Marguerite Bennett | penciller (cover):Stephanie Hans,, | onsaleDate:2015-07-29T00:00:00-0400 | focDate:2015-07-15T00:00:00-0400, | printPrice:3.99  
51200,1602 Witch Hunter Angela (2015) #3,3,23058,92,"""IN WHICH HEARTS REND AND HEADS ROLL"" Enchantress's prophecy strangles Angela and Sera from all sides when they are forced to ride hell (and a few other realms, too) for leather to the distant coast. In a haunted castle, a tormented witchbreed girl named Anna Maria �"" a.k.a. the 1602 Rogue �"" makes a deadly deal �"" with a shocking price! Kieron and Frazer Irving bring to life the first tale Angela tells that is her very own �"" as the forces of Faerie close in!",, | writer:Marguerite Bennett | writer:Kieron Gillen | penciller (cover):Stephanie Hans | artist:Frazer Irving,, | onsaleDate:2015-09-09T00:00:00-0400 | focDate:2015-08-26T00:00:00-0400, | printPrice:3.99 
