14068,Ultimate Comics Hawkeye (2011),2011,2011,
19658,Ultimate End (2015 - Present),2015,2099,Rated T+
1056,Ultimate Fantastic Four Annual (2005 - 2006),2005,2006,A
18474,Ultimate FF (2014 - Present),2014,2099,Rated T+
2311,Ultimate Marvel Team-Up (2001 - 2002),2001,2002,
5105,Ultimate Spider-Man (Spanish Language Edition) (2000 - 2001),2000,2001,A
17580,Ultimate Spider-Man 200 (2011 - 2012),2011,2012,Rated T+
3310,Ultimate Spider-Man Vol. 3: Double Trouble (2001),2001,2001,
5106,Ultimate X-Men (Spanish Language Edition) (2000 - 2009),2000,2009,T
1055,Ultimate X-Men Annual (2005 - 2006),2005,2006,T
3312,Ultimate X-Men Vol. 7: Blockbuster (2006),2006,2006,
20890,Ultimates (2015 - Present),2015,2099,Rated T+
3313,Ultimates Vol. 1: Super-Human (2006),2006,2006,
20621,Uncanny Avengers (2015 - Present),2015,2099,Rated T
19773,Uncanny Avengers (2015),2015,2015,Rated T
16414,Uncanny Avengers (2012 - Present),2012,2099,Rated T
20934,Uncanny Avengers Annual (2015 - Present),2015,2099,
17698,Uncanny Avengers Annual (2014 - Present),2014,2099,
19777,Uncanny Avengers: Ultron Forever (2015 - Present),2015,2099,
19780,Uncanny Inhumans (2015 - Present),2015,2099,Rated T+
17597,Uncanny X-Force (2013 - Present),2013,2099,Parental Advisory
13865,Uncanny X-Force: The Apocalypse Solution (2011),2011,2011,
17602,Uncanny X-Men (2013 - Present),2013,2099,Rated T+
6603,Uncanny X-Men Annual (1999),1999,1999,Rated T+
19235,Uncanny X-Men Annual (2014 - Present),2014,2099,
13193,Uncanny X-Men Annual (2011),2011,2011,
18887,Uncanny X-Men Special (2014 - Present),2014,2099,
3658,Union Jack (1998 - 1999),1998,1999,
2085,Universe X (2000 - 2001),2000,2001,
2086,Universe X: Beasts (2001),2001,2001,
3656,Universe X: Spidey (2001),2001,2001,
17610,Untold Tales of Punisher Max (2012),2012,2012,Explicit Content
2088,Untold Tales of Spider-Man (1995 - 1997),1995,1997,
13392,Untold Tales of the Punisher Max (2010 - 2012),2010,2012,
2979,USA Comics (1941 - 1945),1941,1945,
8576,USA Comics 70th Anniversary Special (2009),2009,2009,
