24044,Captain America Comics 70th Anniversary Special (2009) #1,1,36714,58,"Leading off a series of celebratory specials commemorating Marvel's 70th Anniversary, James (STARMAN, SUPERMAN),2009,4
<br>Robinson and Marcos (AMAZING SPIDER-MAN) Martin bring you an untold story of the living legend.  In the days before he becomes Captain America, a scrawny kid from Brooklyn named Steve Rogers shows the world that you don't need a super-soldier serum to be a hero. Plus a classic Captain America tale from the Golden Age by Joe Simon and Jack Kirby.
<br>One-Shot/All-New & Reprints/Rated A...$3.99
<br>", | Captain America | Winter Soldier, | penciller:Marcos Martin | writer:James Robinson | colorist:Javier Rodriguez,, | onsaleDate:2009-04-01T00:00:00-0400 | focDate:2009-03-12T00:00:00-0400 | unlimitedDate:2011-03-22T00:00:00-0400, | printPrice:3.99
 24045,Captain America Comics 70th Anniversary Special (2009) #1,1,36714,58,"Leading off a series of celebratory specials commemorating Marvel's 70th Anniversary, James (STARMAN, SUPERMAN)
 Robinson and Marcos (AMAZING SPIDER-MAN) Martin bring you an untold story of the living legend.  In the days before he becomes Captain America, a scrawny kid from Brooklyn named Steve Rogers shows the world that you don't need a super-soldier serum to be a hero. Plus a classic Captain America tale from the Golden Age by Joe Simon and Jack Kirby.
 One-Shot/All-New & Reprints/Rated A...$3.99",, | penciller:Marcos Martin | writer:James Robinson | colorist:Javier Rodriguez,, | onsaleDate:2009-04-01T00:00:00-0400 | focDate:2009-03-12T00:00:00-0400, | printPrice:3.99
 24046,Captain America Comics 70th Anniversary Special (2009) #1,1,36714,58,"Leading off a series of celebratory specials commemorating Marvel's 70th Anniversary, James (STARMAN, SUPERMAN)
 Robinson and Marcos (AMAZING SPIDER-MAN) Martin bring you an untold story of the living legend.  In the days before he becomes Captain America, a scrawny kid from Brooklyn named Steve Rogers shows the world that you don't need a super-soldier serum to be a hero. Plus a classic Captain America tale from the Golden Age by Joe Simon and Jack Kirby.
 One-Shot/All-New & Reprints/Rated A...$3.99",, | other:Chris Eliopoulos | other:Todd Klein | inker:Marcos Martin | letterer:Cory Petit | writer:James Robinson | colorist:Javier Rodriguez,, | onsaleDate:2009-04-01T00:00:00-0400 | focDate:2009-03-12T00:00:00-0400, | printPrice:3.99
 
