17238,Captain America: The Chosen (2007) #4,4,48490,39,"From the man who brought you John Rambo in his novel ""First Blood,"" New York Times best-selling writer David Morrell, and rising superstar Mitch Breitweiser (DRAX)! Captain America faces the toughest challenge of his life as he becomes the subject of another government super-soldier experiment...a very different experiment than the one which created the Sentinel of ,2007,11
<br>Liberty. Or is it? What does this mysterious procedure have to do with U.S. Marine Corporal James Newman, currently deployed in Afghanistan? Will Newman be able to save the lives of his brothers in arms with the help of the Star-Spangled Avenger? Will Captain America survive the ordeal?
<br>Rated T+ ...$3.99
<br>", | Captain America, | penciller:Mitch Breitweiser | penciller (cover):Travis Charest | writer:David Morrell | letterer:Cory Petit | colorist:Brian Reber,, | onsaleDate:2007-11-21T00:00:00-0500 | focDate:-0001-11-30T00:00:00-0500 | unlimitedDate:2008-10-28T00:00:00-0400 | digitalPurchaseDate:2010-10-19T00:00:00-0400, | printPrice:3.99 | digitalPurchasePrice:1.99
 21847,Captain America: The Chosen (2007) #4,4,48490,39,"Captain America lays dying in a secret government facility in America. Thousands of miles away, he still manages to bolster James Newman's strength with words of encouragement. Discover the cause of Cap's sickness!",, | penciller:Mitch Breitweiser | writer:David Morrell | letterer:Cory Petit | colorist:Brian Reber,, | onsaleDate:2007-11-21T00:00:00-0500 | focDate:-0001-11-30T00:00:00-0500, | printPrice:3.99
 21850,Captain America: The Chosen (2007) #4,4,48490,39,"From the man who brought you John Rambo in his novel ""First Blood,"" New York Times best-selling writer David Morrell, and rising superstar Mitch Breitweiser (DRAX)! Captain America faces the toughest challenge of his life as he becomes the subject of another government super-soldier experiment...a very different experiment than the one which created the Sentinel of 
<br>Liberty. Or is it? What does this mysterious procedure have to do with U.S. Marine Corporal James Newman, currently deployed in Afghanistan? Will Newman be able to save the lives of his brothers in arms with the help of the Star-Spangled Avenger? Will Captain America survive the ordeal?
<br>Rated T+ ...$3.99
<br>",, | penciller:Mitch Breitweiser | writer:David Morrell | letterer:Cory Petit | colorist:Brian Reber,, | onsaleDate:2007-11-21T00:00:00-0500 | focDate:-0001-11-30T00:00:00-0500, | printPrice:3.99
 
