5116,Civil War: Front Line (2006) #8,8,100862,12,"In ""Embedded"": Hot on the trail of a revelation that could explode the rift between the pro-registration and anti-registration heroes and forever change the nature of the Registration Act, the Daily Bugle's Ben Urich and Sally Floyd have the story. Can they bring the power to the people?,2006,11
<br>In ""The Accused"": His powers are gone, he's been held culpable for the worst super-human disaster in history, and every super-villain in prison is looking to take a piece of Speedball. Will he make it out alive, and with hundreds of deaths on his conscious, does he want to? Also featuring true tales of war time in Civil War ""Correspondence!""
<br>32 PGS./Rated T+ ...$2.99
<br>",, | penciller:Ramon Bachs | penciller:Steve Leiber | letterer:Randy Gentile | writer:Paul Jenkins | inker:John Lucas | colorist:Laura Martin | penciller (cover):John Watson, | Civil War, | onsaleDate:2006-11-22T00:00:00-0500 | focDate:-0001-11-30T00:00:00-0500 | unlimitedDate:2010-02-25T00:00:00-0500 | digitalPurchaseDate:2011-03-16T00:00:00-0400, | printPrice:2.99 | digitalPurchasePrice:1.99
 5438,Civil War: Front Line (2006) #8,8,100862,12,"In ""Embedded"": Hot on the trail of a revelation that could explode the rift between the pro-registration and anti-registration heroes and forever change the nature of the Registration Act, the Daily Bugle's Ben Urich and Sally Floyd have the story. Can they bring the power to the people?
<br>In ""The Accused"": His powers are gone, he's been held culpable for the worst super-human disaster in history, and every super-villain in prison is looking to take a piece of Speedball. Will he make it out alive, and with hundreds of deaths on his conscious, does he want to? Also featuring true tales of war time in Civil War ""Correspondence!""
<br>32 PGS./Rated T+ ...$2.99
<br>",, | penciller:Ramon Bachs | letterer:Randy Gentile | writer:Paul Jenkins | inker:John Lucas | colorist:Laura Martin | penciller (cover):John Watson, | Civil War, | onsaleDate:2006-11-22T00:00:00-0500 | focDate:-0001-11-30T00:00:00-0500, | printPrice:2.99
 
