22055,The Twelve (2007) #1,1,4540,235,"This special edition features early appearances of Golden Age greats Fiery Mask, Mister E and Rockman - stars of J. Michael,2008,2
<br>Straczynski and Chris Weston's bestselling, critically acclaimed epic THE TWELVE! Collecting material from DARING MYSTERY
<br>COMICS #1-2 (January-February 1940), HUMAN TORCH COMICS #2 (Fall 1940) and USA COMICS #2 (November 1941).
<br>Rated T+...$3.99
<br>", | The Twelve, | other:Stuart Vandal | colorist:Chris Weston,, | onsaleDate:2008-09-03T00:00:00-0400 | focDate:2008-08-14T00:00:00-0400, | printPrice:3.99
 17626,The Twelve (2007) #1,1,4540,235,"Yesterday's Men of Tomorrow-Today! Thought lost to the pages of time, a dozen Mystery Men from the ""greatest generation"" of World War Two find themselves thrust into the morally-gray world of the 21st century! Now, Captain Wonder, Dynamic Man, Mastermind Excello, Mister E, the Laughing Mask, the Witness, the Black Widow, the Phantom Reporter, the Fiery Mask, Rockman, the Blue Blade and Electro the Marvel of the Age must seek a place for themselves in the modern Marvel Universe-while a silent killer seeks to eliminate them, one by one!
<br>Rated T+ ...$2.99
<br>", | The Twelve, | letterer:Comicraft | penciller (cover):Kaare Andrews | colorist:Chris Chuckry | inker:Garry Leach | artist:Chris Weston,, | onsaleDate:2008-01-09T00:00:00-0500 | focDate:-0001-11-30T00:00:00-0500 | unlimitedDate:2008-12-25T00:00:00-0500 | digitalPurchaseDate:2012-02-01T00:00:00-0500, | printPrice:2.99 | digitalPurchasePrice:1.99
 
